id,name,percent_any_financial_aid,percent_any_grant_aid,average_amount_any_grant_aid,percent_federal_grant_aid,average_amount_federal_grant_aid,percent_pell_grant_aid,average_amount_pell_grant_aid,percent_other_grant_aid,average_amount_other_grant_aid,percent_state_grant_aid,average_amount_state_grant_aid,percent_institutional_grant_aid,average_amount_institutional_grant_aid,percent_any_loan_aid,average_amount_any_loan_aid,percent_federal_loan_aid,average_amount_federal_loan_aid,percent_other_loan_aid,average_amount_other_loan_aid
100654,Alabama A & M University,96,85,7571,75,4844,75,4654,17,820,4,1557,33,8562,83,6478,83,6409,1,5850
100663,University of Alabama at Birmingham,88,77,5996,38,5430,37,4742,28,1020,1,1028,56,4634,57,6073,57,5784,2,8184
100690,Amridge University,100,100,5686,50,2738,50,2738,0,,0,,100,4318,0,,0,,0,
100706,University of Alabama at Huntsville,92,83,7083,34,6169,34,5999,6,948,1,1781,71,5378,45,5774,45,5457,2,9596
100724,Alabama State University,97,92,7388,83,5065,82,4689,32,1049,14,4158,30,6854,84,6177,84,6144,0,6099
100751,The University of Alabama,76,58,8429,21,4806,21,4488,7,947,4,570,46,8338,43,12463,35,9548,41,5072
100830,Auburn University at Montgomery,63,61,5675,54,4707,53,4668,6,598,19,785,32,2400,10,4723,8,5407,2,1994
100858,Auburn University,78,67,10761,15,5830,14,4347,12,2515,2,9255,62,9830,32,6184,32,5393,2,15336
100937,Birmingham Southern College,100,89,20309,27,4936,27,3961,25,1027,49,487,87,19032,54,7012,54,6644,2,13378
101189,Faulkner University,100,99,4706,70,1675,40,2276,30,887,60,259,90,3700,61,4497,61,4402,1,6125
101435,Huntingdon College,100,100,12017,41,4940,41,3922,35,1177,64,483,100,9690,75,6344,75,6150,1,9875
101879,University of North Alabama,78,77,4415,59,4132,58,3886,28,591,4,351,34,2822,75,3843,75,3778,1,5823
101912,Oakwood University,100,99,7596,61,3523,50,3846,11,1935,12,2256,85,5925,83,6138,79,6021,4,8611
102094,University of South Alabama,91,80,5774,48,5013,45,4319,21,2244,8,614,53,4068,59,7167,59,6981,2,7158
102234,Spring Hill College,100,100,22111,44,5664,44,4385,42,1325,42,399,99,19575,87,6715,87,6513,2,9947
102270,Stillman College,97,82,8217,82,4834,82,4408,31,1118,42,569,79,3210,86,7447,85,7484,2,5608
102553,University of Alaska Anchorage,69,44,4624,32,4521,32,4214,9,1080,2,1462,22,2508,35,5724,35,5444,1,7757
