id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,size_category,control,degree_urbanization,state
100654,Alabama A & M University,7571,6478,16394,1-000 - 4-999,Public,Midsize,Alabama
100663,University of Alabama at Birmingham,5996,6073,20579,10-000 - 19-999,Public,Midsize,Alabama
100690,Amridge University,5686,0,16220,Under 1-000,Private not-for-profit,Midsize,Alabama
100706,University of Alabama at Huntsville,7083,5774,22824.33333,5-000 - 9-999,Public,Midsize,Alabama
100724,Alabama State University,7388,6177,18977.33333,5-000 - 9-999,Public,Midsize,Alabama
100751,The University of Alabama,8429,12463,28372.33333,20-000 and above,Public,Small,Alabama
100830,Auburn University at Montgomery,5675,4723,20020,5-000 - 9-999,Public,Midsize,Alabama
100858,Auburn University,10761,6184,23879.33333,20-000 and above,Public,Small,Alabama
100937,Birmingham Southern College,20309,7012,37981.66667,1-000 - 4-999,Private not-for-profit,Midsize,Alabama
101189,Faulkner University,4706,4497,26130,1-000 - 4-999,Private not-for-profit,Midsize,Alabama
101435,Huntingdon College,12017,6344,28691.66667,1-000 - 4-999,Private not-for-profit,Midsize,Alabama
101879,University of North Alabama,4415,3843,15012.66667,5-000 - 9-999,Public,Small,Alabama
101912,Oakwood University,7596,6138,33441,1-000 - 4-999,Private not-for-profit,Midsize,Alabama
102094,University of South Alabama,5774,7167,17765.33333,10-000 - 19-999,Public,Midsize,Alabama
102234,Spring Hill College,22111,6715,38150,1-000 - 4-999,Private not-for-profit,Midsize,Alabama
102270,Stillman College,8217,7447,25548,1-000 - 4-999,Private not-for-profit,Small,Alabama
102553,University of Alaska Anchorage,4624,5724,20346.66667,10-000 - 19-999,Public,Large,Alaska
102669,Alaska Pacific University,8702,4200,39026.66667,Under 1-000,Private not-for-profit,Large,Alaska
103723,Collins College,4965,7869,25428,Under 1-000,Private for-profit,Large,Arizona
104151,Arizona State University,9573,5658,25783.66667,20-000 and above,Public,Midsize,Arizona
104179,University of Arizona,9156,5839,27196,20-000 and above,Public,Large,Arizona
104188,Southwest University of Visual Arts-Tucson,4418,4400,43147,Under 1-000,Private for-profit,Large,Arizona
104531,DeVry University-Arizona,5927,8516,27925,1-000 - 4-999,Private for-profit,Large,Arizona
104586,Embry-Riddle Aeronautical University-Prescott,9904,8704,44052,1-000 - 4-999,Private not-for-profit,Small,Arizona
104717,Grand Canyon University,13219,6866,27433.33333,20-000 and above,Private for-profit,Large,Arizona
105330,Northern Arizona University,9828,5618,24583.33333,20-000 and above,Public,Small,Arizona
105589,Prescott College,11795,7662,38249,1-000 - 4-999,Private not-for-profit,Small,Arizona
105899,Arizona Christian University,8021,6203,32905.33333,Under 1-000,Private not-for-profit,Large,Arizona
106102,Western International University,4631,9369,23736,1-000 - 4-999,Private for-profit,Large,Arizona
106245,University of Arkansas at Little Rock,9854,4101,21565.66667,10-000 - 19-999,Public,Midsize,Arkansas
106306,Arkansas Baptist College,5172,5974,19691.66667,1-000 - 4-999,Private not-for-profit,Midsize,Arkansas
106397,University of Arkansas,8045,5654,21164.66667,20-000 and above,Public,Small,Arkansas
106412,University of Arkansas at Pine Bluff,7948,5219,16589.66667,1-000 - 4-999,Public,Small,Arkansas
106458,Arkansas State University-Main Campus,9209,5127,21508.33333,10-000 - 19-999,Public,Small,Arkansas
107600,Philander Smith College,7640,6559,22493.33333,Under 1-000,Private not-for-profit,Midsize,Arkansas
108232,Academy of Art University,5642,7024,31573.66667,10-000 - 19-999,Private for-profit,Large,California
109651,Art Center College of Design,16678,8110,51301,1-000 - 4-999,Private not-for-profit,Midsize,California
110060,Bethesda University of California,2741,5378,16820,Under 1-000,Private not-for-profit,Large,California
110185,Brooks Institute,5038,6659,28199,Under 1-000,Private for-profit,Small,California
110316,California Institute of Integral Studies,5203,12079,17282,1-000 - 4-999,Private not-for-profit,Large,California
110361,California Baptist University,16447,7716,37763.33333,5-000 - 9-999,Private not-for-profit,Large,California
110370,California College of the Arts,16972,6723,49110,1-000 - 4-999,Private not-for-profit,Large,California
110404,California Institute of Technology,27007,3532,50414,1-000 - 4-999,Private not-for-profit,Midsize,California
110413,California Lutheran University,17763,6369,45707,1-000 - 4-999,Private not-for-profit,Midsize,California
110486,California State University-Bakersfield,9682,4433,22367,5-000 - 9-999,Public,Large,California
110510,California State University-San Bernardino,10214,4681,22453.33333,10-000 - 19-999,Public,Midsize,California
110529,California State Polytechnic University-Pomona,8679,5162,21334,20-000 and above,Public,Midsize,California
110538,California State University-Chico,9200,5081,23107.33333,10-000 - 19-999,Public,Small,California
110547,California State University-Dominguez Hills,8941,3620,22379.66667,10-000 - 19-999,Public,Small,California
110556,California State University-Fresno,9813,4919,21643.66667,20-000 and above,Public,Large,California
110565,California State University-Fullerton,9345,4853,23140,20-000 and above,Public,Midsize,California
110574,California State University-East Bay,9862,5455,24010,10-000 - 19-999,Public,Midsize,California
110583,California State University-Long Beach,9751,4890,22941,20-000 and above,Public,Large,California
110592,California State University-Los Angeles,10013,3696,23101,20-000 and above,Public,Large,California
110608,California State University-Northridge,10225,4921,24601.33333,20-000 and above,Public,Large,California
110617,California State University-Sacramento,10012,5205,23761,20-000 and above,Public,Large,California
110635,University of California-Berkeley,15272,5401,35721,20-000 and above,Public,Midsize,California
110662,University of California-Los Angeles,15117,5649,35455.33333,20-000 and above,Public,Large,California
110671,University of California-Riverside,16156,4769,34709,20-000 and above,Public,Large,California
110680,University of California-San Diego,15325,5003,34794.66667,20-000 and above,Public,Large,California
