id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,average_amount_personal_contribution,size_category,control,degree_urbanization,state,size,total_enrollment,percent_women,percent_men,percent_native_american,percent_asian_pacific_islander,percent_asian,percent_pacific_islander,percent_african_american,percent_hispanic,percent_white,percent_race_ethnicity_unknown,percent_nonresident_alien,percent_multiracial,total_students,type,degree_granting,percent_under_18,percent_men_under_18,percent_women_under_18,percent_18_to_19,percent_men_18_to_19,percent_women_18_to_19,percent_20_to_21,percent_men_20_to_21,percent_women_20_to_21,percent_22_to_24,percent_men_22_to_24,percent_women_22_to_24,percent_25_to_29,percent_men_25_to_29,percent_women_25_to_29,percent_30_to_34,percent_men_30_to_34,percent_women_30_to_34,percent_35_to_39,percent_men_35_to_39,percent_women_35_to_39,percent_40_to_49,percent_men_40_to_49,percent_women_40_to_49,percent_50_to_64,percent_men_50_to_64,percent_women_50_to_64,percent_65_over,percent_men_65_over,percent_women_65_over,percent_age_unknown,percent_men_age_unknown,percent_women_age_unknown
420352,The College of Saint Thomas More,10144,9000,18266.66667,-877.3333333,Under 1-000,Private not-for-profit,Large,Texas,999,16,50,50,0,0,0,0,0,13,88,0,0,0,16,private,yes,-1,-1,-1,-1,-1,-1,18,6,12,18,18,0,18,12,6,25,6,18,-1,-1,-1,6,0,6,-1,-1,-1,-1,-1,-1,12,6,6
462406,University of Phoenix-Delaware,0,0,20130.5,20130.5,Under 1-000,Private for-profit,Small,Delaware,999,17,41,58.82352941,0,0,0,0,53,0,29,18,0,0,17,for-profit,yes,-1,-1,-1,-1,-1,-1,5,0,5,11,5,5,52,41,11,-1,-1,-1,5,5,0,17,5,11,-1,-1,-1,5,0,5,-1,-1,-1
196440,Talmudical Institute of Upstate New York,0,0,13000,13000,Under 1-000,Private not-for-profit,Midsize,New York,999,27,0,100,0,0,0,0,0,0,100,0,0,0,27,private,yes,-1,-1,-1,40,40,0,14,14,0,18,18,0,14,14,0,3,3,0,3,3,0,3,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
110918,California Christian College,5750,5000,17430.33333,6680.333333,Under 1-000,Private not-for-profit,Large,California,999,31,39,61.29032258,3,0,0,0,13,26,58,0,0,0,31,private,yes,-1,-1,-1,12,6,6,12,3,9,9,3,6,22,12,9,6,3,3,9,9,0,16,16,0,9,6,3,-1,-1,-1,-1,-1,-1
446729,University of Phoenix-Des Moines Campus,5693,9000,21129.5,6436.5,Under 1-000,Private for-profit,Small,Iowa,999,33,64,36.36363636,0,0,0,0,9,3,61,27,0,0,33,for-profit,yes,-1,-1,-1,6,3,3,6,0,6,6,3,3,33,12,21,12,6,6,9,6,3,21,6,15,6,0,6,-1,-1,-1,-1,-1,-1
363712,Yeshivah Gedolah Rabbinical College,8283,0,17300,9017,Under 1-000,Private not-for-profit,Small,Florida,999,34,0,100,0,0,0,0,0,0,85,0,15,0,34,private,yes,44,44,0,17,17,0,32,32,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,0
446701,University of Phoenix-Cheyenne Campus,0,0,20130.5,20130.5,Under 1-000,Private for-profit,Small,Wyoming,999,36,56,44.44444444,3,0,0,0,0,11,67,19,0,0,36,for-profit,yes,-1,-1,-1,8,5,2,13,8,5,11,11,0,25,8,16,19,2,16,13,2,11,5,2,2,2,2,0,-1,-1,-1,-1,-1,-1
194718,Rabbinical Seminary M'kor Chaim,5669,0,13650,7981,Under 1-000,Private not-for-profit,Large,New York,999,39,0,100,0,0,0,0,0,0,100,0,0,0,39,private,yes,7,7,0,64,64,0,20,20,0,7,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189264,Beth Hatalmud Rabbinical College,5706,0,17795,12089,Under 1-000,Private not-for-profit,Large,New York,999,43,0,100,0,0,0,0,0,0,100,0,0,0,43,private,yes,16,16,0,46,46,0,34,34,0,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
446613,W L Bonner College,9000,9951,12662.66667,-6288.333333,Under 1-000,Private not-for-profit,Midsize,South Carolina,999,43,42,58.13953488,0,0,0,0,100,0,0,0,0,0,43,private,yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,9,2,2,2,0,2,2,0,25,13,11,48,25,23,2,0,2,6,4,2
